,dolphin,octopus,panda,sea turtle,quokka,koala,peacock,snow leopard,sea otter,honeybee
528,0.6875,-2.8125,-1.6875,4.84375,-1.6875,-0.875,7.78125,1.34375,-3.1875,1.71875
529,-2.9375,-5.1875,-0.1875,3.75,1.875,-0.4375,6.5,2.71875,-2.125,-0.625
530,-3.1875,-4.5,0.15625,0.75,2.34375,-0.21875,6.03125,1.28125,-2.875,-0.5
531,-2.0625,-5.625,-0.21875,3.0,-0.5,-1.0,4.625,1.71875,-2.5,-0.75
532,-1.625,-4.125,-0.3125,3.6875,0.125,-0.875,6.6875,1.75,-2.8125,0.1875
533,-2.375,-6.28125,-0.59375,2.625,1.28125,-0.625,5.28125,2.15625,-3.0,-0.25
534,-1.8125,-4.25,-0.9375,3.4375,0.3125,0.4375,6.375,1.9375,-1.5625,-0.3125
535,-2.03125,-5.21875,-0.875,3.0625,1.0,-0.875,6.6875,2.0625,-2.9375,-0.125
536,-1.9375,-4.875,-0.78125,3.34375,-0.125,-1.0,6.78125,2.34375,-4.0,0.5
537,-1.65625,-6.03125,-0.65625,3.40625,1.28125,-0.8125,6.28125,2.03125,-2.625,0.125
538,-2.5625,-2.40625,-1.625,4.625,-0.625,-1.125,8.125,2.96875,-1.625,1.5625
539,-3.03125,-7.71875,-2.0625,2.0,-2.375,-1.0625,6.53125,1.40625,-3.75,-0.3125
540,-2.28125,-4.59375,-0.28125,3.125,1.78125,0.09375,6.40625,2.34375,-1.09375,0.875
541,-2.625,-6.0,-1.0,1.6875,0.5625,0.0625,4.5625,1.75,-0.03125,-0.25
542,-1.875,-5.0,-0.6875,4.9375,-1.5,0.5625,5.5625,1.25,0.125,0.4375
543,-2.3125,-6.375,-0.75,3.1875,-0.6875,-0.375,5.1875,1.3125,-1.0625,0.0625
544,-1.75,-4.5,-1.1875,5.625,-0.25,0.75,5.5,1.375,-1.625,-0.0625
545,-2.28125,-5.15625,-1.375,4.5,-0.0625,-0.25,5.375,2.0625,-1.25,0.125
546,-1.5,-5.0625,-1.5625,3.125,0.0625,0.1875,6.375,1.25,-1.375,1.125
547,-2.375,-6.125,-2.0,3.125,0.625,-0.625,6.0,1.75,-1.625,0.4375
548,-2.53125,-4.78125,-1.875,3.28125,0.8125,0.03125,5.71875,2.03125,-0.71875,0.0
549,-2.6875,-7.09375,-2.25,1.4375,-1.125,-0.875,5.53125,1.34375,-1.71875,-0.3125
550,-3.3125,-5.75,-0.96875,1.875,0.75,-0.875,5.09375,0.71875,-1.96875,0.25
551,-2.1875,-6.6875,-1.1875,3.4375,1.125,-1.3125,4.375,0.75,-2.1875,0.1875
552,-1.59375,-5.46875,-0.28125,4.34375,-1.125,-0.6875,5.40625,1.03125,-2.375,0.625
553,-2.5,-7.1875,-1.125,2.5625,-1.25,-1.5625,3.8125,1.25,-3.1875,-1.0625
554,-2.8125,-4.75,-2.0,3.625,-0.8125,-0.375,5.3125,1.5625,-2.0,-0.75
